Device Name,Device Desription,Device EUI,Lot Number,Address,app_eui,key,,,,,,
210508030213,WX-BS-1P-S-EM,8CF957200000A2D3,9221,"19 Pluto, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030214,WX-BS-1P-S-EM,8CF957200000A819,9395,"53 Uranus Street, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030215,WX-BS-1P-S-EM,8CF957200000BB1B,9339,"7 Sun Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030216,WX-BS-1P-S-EM,8CF957200000BA2B,9145,"10 Sun Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030217,WX-BS-1P-S-EM,8CF957200000C23B,9143,"6 Sun Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030218,WX-BS-1P-S-EM,8CF957200000B6B7,15453,"2 Sun Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030219,WX-BS-1P-S-EM,8CF957200000A81F,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030220,WX-BS-1P-S-EM,8CF957200000A76D,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030221,WX-BS-1P-S-EM,8CF957200000B2B7,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030222,WX-BS-1P-S-EM,8CF957200000A846,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030223,WX-BS-1P-S-EM,8CF957200000A790,0,"Rigel, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030224,WX-BS-1P-S-EM,8CF957200000A6A8,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030225,WX-BS-1P-S-EM,8CF957200000C301,7490,"5 Rigel, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030226,WX-BS-1P-S-EM,8CF957200000A895,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030227,WX-BS-1P-S-EM,8CF957200000B715,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030228,WX-BS-1P-S-EM,8CF957200000BB09,15520,"221-223 Drakensberg, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030229,WX-BS-1P-S-EM,8CF957200000C2F4,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030230,WX-BS-1P-S-EM,8CF957200000A32B,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030231,WX-BS-1P-S-EM,8CF957200000C324,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030232,WX-BS-1P-S-EM,8CF957200000BA5E,8949,"17 Pisces Cres, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030233,WX-BS-1P-S-EM,8CF957200000B030,0,Not In Nc Database,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030234,WX-BS-1P-S-EM,8CF957200000BAFE,9012,"18 Pisces Cres, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030235,WX-BS-1P-S-EM,8CF957200000A300,8937,"41 Star Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030236,WX-BS-1P-S-EM,8CF957200000BD35,8948,"19 Pisces Cres, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030237,WX-BS-1P-S-EM,8CF957200000A941,8939,"37 Pisces Cres, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030238,WX-BS-1P-S-EM,8CF957200000A2D2,8938,"39 Star Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030239,WX-BS-1P-S-EM,8CF957200000AC5B,9009,"13 Star, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030240,WX-BS-1P-S-EM,8CF957200000BB60,9013,"37 Star Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030241,WX-BS-1P-S-EM,8CF957200000AEFB,8946,"23 Pisces Cres, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030242,WX-BS-1P-S-EM,8CF957200000BD9C,8938,"39A Star Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030243,WX-BS-1P-S-EM,8CF957200000B91E,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030244,WX-BS-1P-S-EM,8CF957200000BEA0,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030245,WX-BS-1P-S-EM,8CF957200000C2F5,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030246,WX-BS-1P-S-EM,8CF957200000B944,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030247,WX-BS-1P-S-EM,8CF957200000A806,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030248,WX-BS-1P-S-EM,8CF957200000B7C0,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030249,WX-BS-1P-S-EM,8CF957200000B648,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030250,WX-BS-1P-S-EM,8CF957200000A764,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030251,WX-BS-1P-S-EM,8CF957200000B7A5,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030252,WX-BS-1P-S-EM,8CF957200000BA07,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030253,WX-BS-1P-S-EM,8CF957200000A76C,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030254,WX-BS-1P-S-EM,8CF957200000BA39,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030255,WX-BS-1P-S-EM,8CF957200000BEA7,9423,"32 Uranus Street, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030256,WX-BS-1P-S-EM,8CF957200000B728,9222,"17 Pluto, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030257,WX-BS-1P-S-EM,8CF957200000C2B8,776,"12/15 Moon, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030258,WX-BS-1P-S-EM,8CF957200000A6AA,9424,"34 Uranus Street, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030259,WX-BS-1P-S-EM,8CF957200000BE88,9209,"12 Pluto, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030260,WX-BS-1P-S-EM,8CF957200000A6A9,9425,"36 Uranus Street, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030261,WX-BS-1P-S-EM,8CF957200000C3E5,9421,"28 Uranus Street, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030262,WX-BS-1P-S-EM,8CF957200000AC55,9335,"7 Libra Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
